layer,head,mean_gap,p99,p999,cum4,cum8,cum16,cum32
0,0,724.2869760514968,35,40,0.5463882326762716,0.6694681147278145,0.8404059556728594,0.9811361242339397
0,1,916.5346159596011,37,40,0.554301659435971,0.6523945528323417,0.7961233016138466,0.9638343922446201
0,2,949.6628643678665,33,39,0.7207411083761854,0.7993954477876163,0.9027224162466538,0.9891574842509144
0,3,270.5856948809379,16,31,0.9482678639593133,0.9740025683136804,0.9908301209865308,0.9992451661326245
0,4,666.7631025477576,36,39,0.475728713627671,0.6355346637834178,0.8334360437585386,0.9783620037206114
0,5,900.6457434952584,26,37,0.84195394988603,0.9179855952032183,0.9704266286350429,0.9968958900806607
0,6,764.0278167462532,34,39,0.5968147190283108,0.7447643535606508,0.8832148971925606,0.9871252055548002
0,7,956.6113299980524,34,38,0.506342195420266,0.6677504133334249,0.8486087274458508,0.9844085469390128
0,8,745.3292458795985,25,37,0.856069871092319,0.913449617158735,0.9662919671808772,0.997122584804764
0,9,843.1739222843848,36,40,0.3606995126078561,0.520270948083158,0.7630619965048883,0.9775480609966267
0,10,763.6881851603163,31,38,0.8689870248091491,0.904799126225008,0.9466195476681056,0.9931601938856971
0,11,683.7999236271467,36,39,0.37631938324890596,0.5509697442219339,0.7713314061432901,0.9700978643006944
0,12,399.76975068250147,21,34,0.91153396653912,0.9516812207147446,0.9812221612797997,0.9987191959736914
0,13,1018.1001692436246,37,40,0.5508032841043798,0.670042692981581,0.8312731221801202,0.9711048978749208
0,14,942.4325706361083,32,39,0.649812428116881,0.7652079861420801,0.9033084856157303,0.9901468055622249
0,15,232.1910762540544,9,25,0.9740507913271118,0.9884459119338762,0.9961794067582433,0.9998362827941183
0,16,751.3197810874224,34,40,0.7909090799320543,0.8502167440262454,0.9131860220603678,0.984827376489358
0,17,876.8480998351339,33,39,0.646109410263486,0.7620848744652332,0.8837543533103471,0.9878966482326739
0,18,449.8200768491133,24,36,0.9282065990958267,0.9536080004324782,0.9788451176803452,0.9970589169306247
0,19,282.73237110763876,29,39,0.8418028148686932,0.9047351532975568,0.9566848760363422,0.9944260656784888
0,20,944.5908773941234,35,40,0.6263511779858711,0.7510322021360867,0.8929765393617916,0.9846961197612415
0,21,1008.02124476313,35,40,0.6516723331483267,0.7878424230685444,0.8837857698344848,0.9827911735188877
0,22,915.6089836622662,29,37,0.5389418261045247,0.7860865783842641,0.9356722273223783,0.9953649626019119
0,23,947.0184783241921,34,39,0.49070794546366503,0.6941669147171564,0.8801137646269206,0.9865603722747638
0,24,961.1545153198472,34,38,0.5077629641028479,0.6744164420977661,0.8570792666418859,0.9847718874429513
0,25,132.1236036825135,5,18,0.9895922746007408,0.9961623473353904,0.9987872525338599,0.9999289856378467
0,26,708.4765751871471,35,39,0.6471639867967165,0.7477185205933494,0.8579501947852011,0.9789535265776518
0,27,908.9054093684151,30,37,0.35231570783719396,0.5922132356095177,0.8830956297598381,0.9942871744813324
0,28,826.1175753974735,34,39,0.7408473985261604,0.8177608058912703,0.906859539548356,0.9866304653894076
0,29,121.50068859140026,9,23,0.9803767749512422,0.9895077375868006,0.9969209894045478,0.9998197330345212
0,30,975.5215799774686,34,39,0.32658603921029045,0.5375993530739915,0.7831782684248717,0.982622091202426
0,31,970.4463658471716,35,39,0.44702329709014077,0.6093533395224083,0.8164800308896903,0.9808623576136666
1,0,540.6331374431184,25,33,0.8470175748168693,0.9019322358377598,0.9601768301719691,0.9988045160237938
1,1,476.0031452235993,24,34,0.8364333671766269,0.907679970085031,0.9648555570989809,0.9985672921494938
1,2,130.23810952538503,5,16,0.9874828638335497,0.9956323937912853,0.999096213008647,0.9999895494974936
1,3,506.43151438116564,13,21,0.910119778544938,0.9706951553072546,0.9971665724547264,0.9999226824391285
1,4,693.2796557986496,25,35,0.740391616473561,0.8639698542720046,0.9536916458878618,0.9983842386983726
1,5,463.5717086068821,19,31,0.8770212435752244,0.9408183524591633,0.9845908670563215,0.9993043861930461
1,6,684.88361495185,26,35,0.7463134569619063,0.8431282819945457,0.9487937269123206,0.9982204738521822
1,7,564.7672104860496,26,36,0.6908032925453493,0.8278851983144753,0.9427036409277207,0.9971390649784374
1,8,1022.7507203404147,29,38,0.7134133020132204,0.8316911551878088,0.9334383645389928,0.9946331305917302
1,9,792.992340596249,33,38,0.39032911723574043,0.586075252536765,0.8345855051169456,0.9876027916002701
1,10,704.7022412826054,25,35,0.8488761593017509,0.9030924122202254,0.9617977702586894,0.9982523525947001
1,11,1053.2493305160651,21,36,0.9431045138423326,0.9661090883564604,0.9842635635220652,0.9980063385727062
1,12,135.27452614721528,5,12,0.985548236668784,0.9968450254160374,0.9999299496655565,0.9999984003816359
1,13,962.3690203671813,32,38,0.4852698683974629,0.696492681277238,0.8906381902733903,0.9917761959381609
1,14,626.4771716766952,23,31,0.6646514834117332,0.8239132831296571,0.9611378572132256,0.9992420919072165
1,15,737.422192340442,28,35,0.7012333719465075,0.8068884764686888,0.9297167252222415,0.997104182262797
1,16,740.6376472169087,28,37,0.7034365649364428,0.8125328924771335,0.9370097267725958,0.996511787153095
1,17,347.0579829485084,6,19,0.9836586348205971,0.9952174312908132,0.9986500196975724,0.9998595646867814
1,18,353.67285700849436,23,36,0.8962996432207442,0.9465287557748742,0.978608583199739,0.9978341655223304
1,19,611.6972495673308,26,35,0.7834796355947513,0.8669421767760509,0.956121713210787,0.9983596269382228
1,20,790.1112167174501,28,38,0.7107260436934583,0.8457907449413187,0.9488103206353878,0.9956907171908008
1,21,211.6814209404726,7,16,0.9732101782662947,0.9925014147687821,0.9991449191590869,0.999982641707145
1,22,86.4410630353776,9,22,0.979502665261648,0.9888007689297469,0.9968866252769552,0.999959632013474
1,23,458.4778506141656,12,30,0.963108658592439,0.9829759716881283,0.9938947853182618,0.99929003164987
1,24,770.4614978659424,27,36,0.7226774720658625,0.8276454994410475,0.9442368482440845,0.9969854714046694
1,25,332.0087930849552,18,32,0.936820421516518,0.9682091634328794,0.9885951435566075,0.9990714522719316
1,26,804.8584876577786,20,32,0.8878007937179004,0.9500849651375999,0.9849508088614811,0.999041707713752
1,27,788.0640422031152,23,35,0.8125587283917649,0.8863896530078378,0.9673379601491584,0.998345957984598
1,28,917.0186814604401,26,36,0.7808858788874262,0.865699441691617,0.9628745207267695,0.9971484863239277
1,29,834.2820523375608,29,37,0.5895274648844299,0.7632042602497249,0.9159875975635778,0.9958484515297059
1,30,315.4114246417058,12,26,0.9606826783304927,0.9818688495368464,0.9952314995521209,0.9996686073412483
1,31,663.8446868799763,18,26,0.8517814872081573,0.9294477059643029,0.9866437387249004,0.9998969219371434
2,0,1702.267487412779,13,24,0.9369280499489824,0.9712840762737428,0.9959370692195414,0.999803324212119
2,1,1607.4845957450623,10,20,0.9346531787355551,0.9823699201629857,0.9982475546833416,0.9998337617600479
