src,seq,layer,method,rho,kl,relL2
c4,0,22,a,0.25,0.019808553159236908,0.24502789974212646
c4,0,22,a,0.125,0.03788702189922333,0.3498348891735077
c4,0,22,b,0.5,0.050659455358982086,0.45085814595222473
c4,0,22,b,0.25,0.11873923987150192,0.6243789792060852
c4,0,22,b,0.125,0.18687909841537476,0.7479691505432129
c4,0,22,bp,0.5,0.0743071585893631,0.5084656476974487
c4,0,22,bp,0.25,0.15206509828567505,0.6965557932853699
c4,0,22,bp,0.125,0.22630777955055237,0.8020320534706116
c4,0,22,c,0.5,0.046537503600120544,0.42550185322761536
c4,0,22,c,0.25,0.10899476706981659,0.6112995147705078
c4,0,22,c,0.125,0.16830052435398102,0.7156817317008972
c4,0,22,d,0.5,0.032403700053691864,0.3114263415336609
c4,0,22,d,0.25,0.06609749794006348,0.47068777680397034
c4,0,22,d,0.125,0.10254780948162079,0.5717896223068237
c4,0,23,a,0.5,0.007492137141525745,0.15192832052707672
c4,0,23,a,0.25,0.01857437565922737,0.2725023329257965
c4,0,23,a,0.125,0.03504832088947296,0.40697526931762695
c4,0,23,b,0.5,0.03619746118783951,0.42314594984054565
c4,0,23,b,0.25,0.08800066262483597,0.6126426458358765
c4,0,23,b,0.125,0.14470931887626648,0.7303304672241211
c4,0,23,bp,0.5,0.0477789081633091,0.4707679748535156
c4,0,23,bp,0.25,0.11461441963911057,0.6716700792312622
c4,0,23,bp,0.125,0.1806601732969284,0.7789912819862366
c4,0,23,c,0.5,0.03781048208475113,0.41692298650741577
c4,0,23,c,0.25,0.08516024053096771,0.6024017333984375
c4,0,23,c,0.125,0.13502450287342072,0.7064777612686157
c4,0,23,d,0.5,0.031049752607941628,0.37231945991516113
c4,0,23,d,0.25,0.060062531381845474,0.5427143573760986
c4,0,23,d,0.125,0.09065994620323181,0.6452590227127075
c4,0,24,a,0.5,0.006524592638015747,0.10774869471788406
